epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3898,3.38513,3.71627,4.23484,0.00333,1,0.00729,0.00162,2.79314,4.17964,4.15904,2e-05,2e-05,2e-05
2,20.7478,2.90674,3.63529,4.17502,0.00333,1,0.01148,0.00229,2.79427,4.18022,4.15914,5.8812e-05,5.8812e-05,5.8812e-05
3,29.3872,3.26037,3.69543,4.17417,0.00333,1,0.01063,0.00206,2.79511,4.18218,4.15906,9.604e-05,9.604e-05,9.604e-05
4,38.2371,3.13017,3.75193,4.18543,0.00333,1,0.02764,0.00495,2.79559,4.18475,4.15877,0.000131684,0.000131684,0.000131684
5,47.0127,3.13428,3.63896,4.16226,0.00333,1,0.02736,0.0048,2.79588,4.18781,4.1582,0.000165744,0.000165744,0.000165744
6,55.592,2.98702,3.67814,4.13483,0.00333,1,0.2107,0.03835,2.7955,4.19076,4.15705,0.00019822,0.00019822,0.00019822
7,64.3231,3.05718,3.65292,4.1492,0.00333,1,0.20213,0.03548,2.79413,4.19253,4.15536,0.000229112,0.000229112,0.000229112
8,72.7362,2.86551,3.5777,4.12303,0.00333,1,0.12568,0.01502,2.79244,4.19218,4.153,0.00025842,0.00025842,0.00025842
9,81.0517,2.80887,3.5057,4.0826,0.00333,1,0.2445,0.0304,2.7915,4.19192,4.15161,0.000286144,0.000286144,0.000286144
10,89.6142,2.82971,3.5117,4.08507,0.00333,1,0.19195,0.02281,2.78938,4.19273,4.14907,0.000312284,0.000312284,0.000312284
11,98.5963,2.81313,3.41988,4.00625,0.00333,1,0.35637,0.05134,2.78677,4.19386,4.14607,0.00033684,0.00033684,0.00033684
12,108.005,2.8207,3.34661,4.02643,0.00333,1,0.20029,0.02221,2.7836,4.19479,4.14263,0.000359812,0.000359812,0.000359812
13,117.001,2.7386,3.46686,4.00949,0.00333,1,0.09745,0.0135,2.78017,4.19529,4.13869,0.0003812,0.0003812,0.0003812
14,126.012,2.64102,3.26446,3.93116,0.00333,1,0.21315,0.02443,2.77571,4.19419,4.13413,0.000401004,0.000401004,0.000401004
15,135.029,2.72339,3.25221,3.92224,0.00333,1,0.22728,0.0264,2.76987,4.19175,4.12936,0.000419224,0.000419224,0.000419224
16,143.921,2.80559,3.22383,3.93392,0.00333,1,0.23416,0.02992,2.785,4.153,4.11817,0.00043586,0.00043586,0.00043586
17,152.864,2.89985,3.24075,3.94856,0.00333,1,0.37063,0.04532,2.81929,4.07688,4.09675,0.000450912,0.000450912,0.000450912
18,161.91,3.19565,3.42471,3.98432,0.00333,1,0.40674,0.04928,2.82408,4.03947,4.08069,0.00046438,0.00046438,0.00046438
19,170.945,2.7374,3.26536,3.90091,0.00333,1,0.42062,0.05438,2.79901,4.03817,4.05967,0.000476264,0.000476264,0.000476264
20,179.917,2.59126,3.23043,3.86116,0.00333,1,0.41145,0.06384,2.75981,4.01695,4.03786,0.000486564,0.000486564,0.000486564
21,188.881,2.76122,3.32633,3.89519,0.00333,1,0.4204,0.05673,2.72574,4.00695,4.01959,0.00049528,0.00049528,0.00049528
22,197.757,2.80464,3.26735,3.8542,0.00333,1,0.51881,0.08052,2.66599,3.99667,3.99518,0.000502412,0.000502412,0.000502412
23,206.647,2.49562,3.14875,3.79549,0.00333,1,0.5403,0.12561,2.58338,3.98932,3.95485,0.00050796,0.00050796,0.00050796
24,215.564,2.51587,3.0788,3.6563,0.00333,1,0.5867,0.1376,2.51645,3.98385,3.92263,0.000511924,0.000511924,0.000511924
25,224.53,2.40825,2.91414,3.61197,0.00333,1,0.51952,0.13663,2.51143,3.967,3.8964,0.000514304,0.000514304,0.000514304
26,233.468,2.51507,3.12405,3.70503,0.00333,1,0.38577,0.09006,2.52049,3.97621,3.90324,0.0005151,0.0005151,0.0005151
27,242.711,2.6108,3.0654,3.67558,0.00333,1,0.31247,0.05498,2.58665,3.95719,3.9191,0.000514312,0.000514312,0.000514312
28,251.564,2.77597,3.14605,3.69338,0.00333,1,0.31247,0.05498,2.58665,3.95719,3.9191,0.00051194,0.00051194,0.00051194
29,260.427,2.5686,3.02655,3.55071,0.00333,1,0.25532,0.03453,2.63604,3.93289,3.93708,0.000507984,0.000507984,0.000507984
30,269.839,2.55438,3.0882,3.55866,0.00333,1,0.24864,0.03511,2.55217,3.91605,3.88774,0.000502444,0.000502444,0.000502444
31,278.639,2.48183,2.84001,3.47937,0.00333,1,0.24864,0.03511,2.55217,3.91605,3.88774,0.00049532,0.00049532,0.00049532
32,287.731,2.61983,2.93848,3.59653,0.00333,1,0.13297,0.03082,2.41719,3.84155,3.71971,0.000486612,0.000486612,0.000486612
33,297.019,2.47302,2.95419,3.51464,0.00333,1,0.18058,0.04192,2.26209,3.85306,3.59027,0.00047632,0.00047632,0.00047632
34,307.234,2.85779,3.08485,3.60121,0.00333,1,0.18058,0.04192,2.26209,3.85306,3.59027,0.000464444,0.000464444,0.000464444
