epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.653,1.14327,2.55929,1.26022,1,0.65198,0.83099,0.39067,1.95439,3.17734,1.50942,0.00024,0.00024,0.00024
2,137.799,1.13627,1.78108,1.21305,1,0.525,0.90969,0.52289,1.40477,3.28426,1.38508,0.00047525,0.00047525,0.00047525
3,250.615,1.09387,1.55619,1.20116,1,0.5498,0.76783,0.3968,1.34454,3.34229,1.25384,0.00068476,0.00068476,0.00068476
4,339.267,1.10336,1.50014,1.16592,1,0.41337,0.8401,0.51366,1.08157,3.15831,1.20803,0.00086853,0.00086853,0.00086853
5,414.407,1.06688,1.40619,1.20133,1,0.72849,0.91202,0.56767,1.10576,2.68016,1.37283,0.00102656,0.00102656,0.00102656
6,493.508,0.99634,1.29115,1.14194,0.53766,0.47826,0.59879,0.30597,1.16653,3.18609,1.47062,0.00115885,0.00115885,0.00115885
7,558.683,1.01858,1.23289,1.17896,0.55226,0.47826,0.56999,0.35129,0.87986,3.39048,1.24489,0.0012654,0.0012654,0.0012654
8,621.455,0.9472,1.15753,1.1017,0.53809,0.56522,0.56113,0.42067,0.82631,5.14822,1.21981,0.001307,0.001307,0.001307
9,684.386,1.07308,1.18564,1.14912,0.25862,0.26087,0.16721,0.08644,0.97259,6.40465,1.32122,0.001208,0.001208,0.001208
10,748.598,0.9735,1.0749,1.13333,0.94976,0.82213,0.9445,0.6901,0.87937,1.91375,1.2114,0.001109,0.001109,0.001109
11,809.989,0.8549,1.41029,1.10714,0.95041,0.83362,0.96536,0.76381,0.77326,1.93499,1.16435,0.00101,0.00101,0.00101
12,872.27,0.77183,1.26285,1.05674,1,0.95382,0.97591,0.823,0.58179,1.62105,1.0482,0.000911,0.000911,0.000911
13,933.991,0.69059,1.14739,1.02105,1,0.91927,0.98567,0.81407,0.59435,1.39585,1.07117,0.000812,0.000812,0.000812
14,993.592,0.65307,1.05023,0.97776,0.91037,0.95652,0.96676,0.81011,0.62094,1.15849,1.08264,0.000713,0.000713,0.000713
15,1053.11,0.67207,1.02588,0.98176,0.89542,0.91304,0.97292,0.77401,0.70964,1.31468,1.09546,0.000614,0.000614,0.000614
16,1116.45,0.61977,0.97796,0.95418,0.95271,0.91304,0.97724,0.80271,0.81384,1.11307,1.22224,0.000515,0.000515,0.000515
17,1178.31,0.59399,0.8946,0.95807,0.97615,0.95652,0.99038,0.83547,0.65486,0.97944,1.06214,0.000416,0.000416,0.000416
18,1237.14,0.54391,0.83307,0.9389,0.9704,0.95652,0.9918,0.91009,0.45535,0.88543,0.96085,0.000317,0.000317,0.000317
19,1299.11,0.50601,0.81087,0.9151,0.95051,1,0.99167,0.92003,0.45333,0.82616,0.95381,0.000218,0.000218,0.000218
20,1360.77,0.54285,0.81095,0.93011,0.95336,1,0.99333,0.9249,0.40427,0.78673,0.93685,0.000119,0.000119,0.000119
